epoch,train_loss,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1_score,eval_iou_score,eval_dice_score,eval_kappa_score
0,0.30011929907712886,0.299,0.502,0.018,0.03,0.018,0.012,0.018,0.01
15,0.2691317890517984,0.264,0.565,0.229,0.2,0.198,0.119,0.198,0.191
30,0.2580804725101723,0.252,0.62,0.287,0.303,0.281,0.175,0.281,0.274
45,0.254084394827662,0.247,0.653,0.318,0.365,0.328,0.21,0.328,0.322
60,0.2509773758789383,0.245,0.678,0.345,0.408,0.363,0.237,0.363,0.357
75,0.24929614537107714,0.243,0.694,0.364,0.442,0.388,0.257,0.388,0.383
90,0.247655683842488,0.242,0.708,0.38,0.468,0.409,0.274,0.409,0.404
105,0.2466933257112335,0.241,0.718,0.393,0.488,0.425,0.288,0.425,0.42
120,0.245373051904822,0.24,0.727,0.406,0.504,0.439,0.3,0.439,0.434
135,0.24488926127193114,0.24,0.735,0.415,0.518,0.45,0.309,0.45,0.446
150,0.24399153705849494,0.239,0.741,0.424,0.53,0.461,0.318,0.461,0.456
165,0.24333211030571664,0.239,0.746,0.431,0.541,0.47,0.326,0.47,0.465
180,0.24246697242490298,0.239,0.751,0.437,0.549,0.477,0.333,0.477,1.383
195,0.24213617266053994,0.238,0.755,0.443,0.557,0.484,0.339,0.484,1.257
210,0.24147743714353465,0.238,0.759,0.449,0.565,0.491,0.345,0.491,1.156
225,0.24091026672465948,0.237,0.763,0.455,0.57,0.496,0.35,0.496,1.074
240,0.2407518852772012,0.237,0.766,0.46,0.575,0.502,0.355,0.502,1.009
255,0.2402103595310579,0.237,0.769,0.465,0.58,0.507,0.36,0.507,0.955
270,0.2399083558977797,0.237,0.772,0.469,0.585,0.511,0.364,0.511,0.91
285,0.23974694068247404,0.237,0.774,0.473,0.589,0.515,0.368,0.515,0.873
300,0.23900162553352944,0.237,0.776,0.477,0.593,0.52,0.372,0.52,0.839
315,0.23877430975290775,0.237,0.779,0.481,0.596,0.523,0.375,0.523,1.098
330,0.2384135806616632,0.236,0.781,0.485,0.599,0.527,0.379,0.527,1.05
345,0.23822763088878626,0.236,0.783,0.488,0.602,0.53,0.382,0.53,1.008
360,0.23761881122421252,0.236,0.785,0.491,0.605,0.533,0.385,0.533,0.965
375,0.2377045946169036,0.236,0.786,0.494,0.607,0.536,0.388,0.536,0.935
390,0.2370691362934624,0.236,0.788,0.497,0.61,0.539,0.39,0.539,0.907
405,0.23683875594844694,0.236,0.789,0.5,0.612,0.542,0.393,0.542,1.056
420,0.2365247989061959,0.236,0.791,0.502,0.614,0.544,0.395,0.544,1.022
435,0.23652353344200772,0.236,0.792,0.505,0.616,0.547,0.398,0.547,0.991
450,0.2362845425070479,0.236,0.793,0.507,0.618,0.549,0.4,0.549,0.962
465,0.23598675417011994,0.236,0.795,0.51,0.62,0.551,0.402,0.551,0.937
480,0.23585089916730093,0.236,0.796,0.512,0.621,0.553,0.404,0.553,1.032
495,0.23579255536326707,0.236,0.797,0.514,0.623,0.555,0.406,0.555,1.006
510,0.2359697769654856,0.236,0.798,0.517,0.624,0.557,0.408,0.557,0.956
525,0.23585066754360254,0.236,0.799,0.519,0.626,0.559,0.41,0.559,0.96
540,0.23538234468200292,0.236,0.8,0.521,0.627,0.561,0.412,0.561,1.032
555,0.23543531613251345,0.236,0.801,0.523,0.628,0.563,0.413,0.563,1.007
570,0.23565078369062356,0.235,0.802,0.524,0.629,0.564,0.415,0.564,0.982
585,0.23558825816207374,0.235,0.803,0.526,0.63,0.566,0.416,0.566,0.961
